  Temp  En  dE  Cv  dCv 
  0.50000000000000000       -4.1084166140137155        6.9937497683889588E-005   2.9335783651719492E-002   6.2030961893207561E-004
  0.45248307357234790       -4.1091097414343984        6.5958917584549989E-005   3.1861035564244800E-002   6.4187422777938223E-004
  0.40948186373895767       -4.1149794385329521        6.4314044627785389E-005   3.6987913048847340E-002   7.6111257906241216E-004
  0.37056722455347385       -4.1129462753232549        7.4350287595413743E-005   6.0359942834674767E-002   1.2001384422948526E-003
  0.33535079346226054       -4.1142411536900720        7.0903713739164175E-005   6.7028085381331648E-002   1.3870615856247125E-003
  0.30348111550145862       -4.1205665412522228        6.9158938167663230E-005   7.7866528531853024E-002   1.5859518323633117E-003
  0.27464013582652946       -4.1231075221703302        7.5882941956517401E-005  0.11446634966304503        2.3626788325089364E-003
  0.24854002557023031       -4.1252091577480412        8.3569633548020468E-005  0.16952035031344687        3.3452267463649392E-003
  0.22492030935153548       -4.1303125770473228        8.8034063781653818E-005  0.22970036242986980        4.2523730662471964E-003
  0.20354526576845217       -4.1350524265219715        8.7507699652347303E-005  0.27713287548722149        5.1235568709862627E-003
  0.18420157493201933       -4.1412406972291391        7.2096687884137573E-005  0.22970025280449821        4.5684476105553257E-003
  0.16669618956421453       -4.1446467390541404        5.7633213938499649E-005  0.17923047430240557        4.1393679882511013E-003
  0.15085440841362907       -4.1469531852288322        4.3818054340964806E-005  0.12650499908941246        3.1349585096109621E-003
  0.13651813276187430       -4.1485238279581171        3.3596168869821760E-005   9.0806378123683973E-002   2.3192911053703550E-003
  0.12354428862090146       -4.1494805590134982        2.5053550251705053E-005   6.1661024362547973E-002   1.6927032640212118E-003
  0.11180339887498945       -4.1500791226525582        1.9292300433798256E-005   4.4645275548100494E-002   1.3657867624218122E-003
  0.10117829111758084       -4.1505043506217483        1.4615096026155787E-005   3.1285713912523917E-002   1.1161977444459493E-003
   9.1562928287361539E-002  -4.1507587746636725        1.1765291975620779E-005   2.4756171663140831E-002   9.1540268264880527E-004
   8.2861350433499667E-002  -4.1509549793538669        9.1819414930040189E-006   1.8411204597516329E-002   7.5013731663754833E-004
   7.4986717049010665E-002  -4.1510743057703898        7.8203873718212075E-006   1.6308154536195232E-002   6.3422229885958751E-004
   6.7860440414872658E-002  -4.1511832354938889        6.9368467790580613E-006   1.5667788849530614E-002   5.1539325032278816E-004
   6.1411401305789509E-002  -4.1512827515459509        6.3080251416572451E-006   1.5819981446535729E-002   4.9055326408979822E-004
   5.5575239230457089E-002  -4.1513716218326397        5.8640027305483950E-006   1.6693325885388105E-002   3.6553251025480364E-004
   5.0293710123031500E-002  -4.1514792897165451        5.4877776196368439E-006   1.7851834568869612E-002   3.9398255093794178E-004
   4.5514105075652005E-002  -4.1515679714710920        5.2949403012158997E-006   2.0293071650636443E-002   4.3794735300983908E-004
   4.1188724311051646E-002  -4.1516651134769145        5.0538817773422253E-006   2.2574139657288349E-002   4.4053458871472581E-004
   3.7274401145577472E-002  -4.1517465744807316        4.8024128493065686E-006   2.4889490761003892E-002   4.8489376393158229E-004
   3.3732071191839089E-002  -4.1518380214367259        4.5049661299922164E-006   2.6743372568270161E-002   5.4427749089625531E-004
   3.0526382501689202E-002  -4.1519295920555495        3.9482110893054278E-006   2.5082470235910162E-002   5.3758611256041634E-004
   2.7625342758818946E-002  -4.1519916768559737        3.4915975138469240E-006   2.3952733147691741E-002   5.3000912448734774E-004
