  Temp  M  dM  Suc  dSuc 
   500.00000000000000        5.1963536602108874E-002   2.6967113127961042E-004   4.3624785161410802E-004   6.6070612324616548E-006
   410.15631706521634        5.1593359757195215E-002   2.7114183079425097E-004   5.3762324146851314E-004   7.9592044885923964E-006
   336.45640885700453        5.2088626253901031E-002   2.7185914247790030E-004   6.5886050017840839E-004   1.0014523860865559E-005
   275.99944301955520        5.1957277202406400E-002   2.7025516187945028E-004   7.9373253311783548E-004   1.1672979803583510E-005
   226.40583012190356        5.2207163419404977E-002   2.7145441806845943E-004   9.7620407061746938E-004   1.4290495775357857E-005
   185.72356288978597        5.2286536068898923E-002   2.7287448345605822E-004   1.2025225751273571E-003   1.7697749296826317E-005
   152.35138509420943        5.2863963298192512E-002   2.7690898234261906E-004   1.5096006413943754E-003   2.2405516594244968E-005
   124.97576602005088        5.2840697737951373E-002   2.7259500771712489E-004   1.7833820043760577E-003   2.6377808514894902E-005
   102.51919982637654        5.3282261327872643E-002   2.7908675651344299E-004   2.2788075020627736E-003   3.3931863354595176E-005
   84.097794858519137        5.3737298359391256E-002   2.8048808528230646E-004   2.8059415419130003E-003   4.0660680033927065E-005
   68.986483624952584        5.3756577946929694E-002   2.7927598432968476E-004   3.3910763278767676E-003   4.9613912825816916E-005
   56.590484101780817        5.4786898665307920E-002   2.8791537436987963E-004   4.3936018161168837E-003   6.3806576258995266E-005
   46.421889080248192        5.5365231872390466E-002   2.9093915824376199E-004   5.4691009265631762E-003   8.1480472278894214E-005
   38.080462112729158        5.6845968423948075E-002   2.9710401583703955E-004   6.9526317213785896E-003   1.0272997536316484E-004
   31.237884184597007        5.7318644351220638E-002   2.9430588956449110E-004   8.3166933261628103E-003   1.2150671861942883E-004
   25.624831060128148        5.8565873996456436E-002   3.0364755112428606E-004   1.0792273593027937E-002   1.6238660254387492E-004
   21.020372666081048        5.9770387592534190E-002   3.1206587174384322E-004   1.3895895254486682E-002   2.1161559331267296E-004
   17.243277272116284        6.1868946263525730E-002   3.2320240607729638E-004   1.8170369135431918E-002   2.7562408907347004E-004
   14.144878200131137        6.4105116656088257E-002   3.3340410775204154E-004   2.3570949204052102E-002   3.4990005693646422E-004
   11.603222295803704        6.5025598124163184E-002   3.3928218699335271E-004   2.9756229299336964E-002   4.3142127233164321E-004
   9.5182698458717017        6.6910032539042458E-002   3.5153713585785548E-004   3.8942048960160035E-002   6.1124412211735718E-004
   7.8079570096312807        6.9178206829162550E-002   3.6248013331164459E-004   5.0473729489590648E-002   7.5597275648794232E-004
   6.4049657817478156        7.0313104130018803E-002   3.6572141654574571E-004   6.2635184940966968E-002   9.2834448219495031E-004
   5.2540743519408331        7.0871677772149866E-002   3.7028270658354481E-004   7.8271748624237719E-002   1.1205116308716763E-003
   4.3099835715577317        7.2056859062469586E-002   3.7516181496577276E-004   9.7948103886354651E-002   1.4586180947963928E-003
   3.5355339766434137        7.1801422415598365E-002   3.7969983199380713E-004  0.12230949872139306        1.7927596093356636E-003
   2.9002431894380010        7.3326935805235124E-002   3.8149273909684702E-004  0.15051248594630187        2.2632124773841167E-003
   2.3791061303467349        7.2188809214612182E-002   3.7438045391286379E-004  0.17670421475689307        2.6485314993030802E-003
   1.9516108166605914        7.2912536793473287E-002   3.7935688393738327E-004  0.22117554884263077        3.2401715214728888E-003
