i_v,j_v,i_v_q
0,0,-2.999999999999999
0,1,3.0000000000000053
0,2,-2.999999999999999
1,1,-3.0000000000000053
1,30,2.999999999999999
1,59,2.999999999999999
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,30,0.0
2,32,0.0
3,3,-2.999999999999999
3,4,3.0000000000000053
3,5,-2.999999999999999
4,4,-3.0000000000000053
4,32,2.999999999999999
4,33,2.999999999999999
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,33,0.0
5,35,0.0
6,6,-2.999999999999999
6,7,3.0000000000000053
6,8,-2.999999999999999
7,7,-3.0000000000000053
7,35,2.999999999999999
7,36,2.999999999999999
8,7,0.0
8,8,0.0
8,9,0.0
8,10,0.0
8,36,0.0
8,38,0.0
9,9,-2.999999999999999
9,10,3.0000000000000053
9,11,-2.999999999999999
10,10,-3.0000000000000053
10,38,2.999999999999999
10,39,2.999999999999999
11,10,0.0
11,11,0.0
11,12,0.0
11,13,0.0
11,39,0.0
11,41,0.0
12,12,-2.999999999999999
12,13,3.0000000000000053
12,14,-2.999999999999999
13,13,-3.0000000000000053
13,41,2.999999999999999
13,42,2.999999999999999
14,13,0.0
14,14,0.0
14,15,0.0
14,16,0.0
14,42,0.0
14,44,0.0
15,15,-2.999999999999999
15,16,3.0000000000000053
15,17,-2.999999999999999
16,16,-3.0000000000000053
16,44,2.999999999999999
16,45,2.999999999999999
17,16,0.0
17,17,0.0
17,18,0.0
17,19,0.0
17,45,0.0
17,47,0.0
18,18,-2.999999999999999
18,19,3.0000000000000053
18,20,-2.999999999999999
19,19,-3.0000000000000053
19,47,2.999999999999999
19,48,2.999999999999999
20,19,0.0
20,20,0.0
20,21,0.0
20,22,0.0
20,48,0.0
20,50,0.0
21,21,-2.999999999999999
21,22,3.0000000000000053
21,23,-2.999999999999999
22,22,-3.0000000000000053
22,50,2.999999999999999
22,51,2.999999999999999
23,22,0.0
23,23,0.0
23,24,0.0
23,25,0.0
23,51,0.0
23,53,0.0
24,24,-2.999999999999999
24,25,3.0000000000000053
24,26,-2.999999999999999
25,25,-3.0000000000000053
25,53,2.999999999999999
25,54,2.999999999999999
26,25,0.0
26,26,0.0
26,27,0.0
26,28,0.0
26,54,0.0
26,56,0.0
27,27,-2.999999999999999
27,28,3.0000000000000053
27,29,-2.999999999999999
28,28,-3.0000000000000053
28,56,2.999999999999999
28,57,2.999999999999999
29,0,0.0
29,1,0.0
29,28,0.0
29,29,0.0
29,57,0.0
29,59,0.0
30,30,-2.999999999999999
30,31,2.9999999999999956
30,32,-2.999999999999999
31,31,-3.000000000000014
31,62,2.9999999999999947
31,63,2.9999999999999947
32,31,0.0
32,32,0.0
32,33,0.0
32,34,0.0
32,63,0.0
32,65,0.0
33,33,-2.999999999999999
33,34,2.9999999999999956
33,35,-2.999999999999999
34,34,-3.000000000000014
34,65,2.9999999999999947
34,66,2.9999999999999947
35,34,0.0
35,35,0.0
35,36,0.0
35,37,0.0
35,66,0.0
35,68,0.0
36,36,-2.999999999999999
36,37,2.9999999999999956
36,38,-2.999999999999999
37,37,-3.000000000000014
37,68,2.9999999999999947
37,69,2.9999999999999947
38,37,0.0
38,38,0.0
38,39,0.0
38,40,0.0
38,69,0.0
38,71,0.0
39,39,-2.999999999999999
39,40,2.9999999999999956
39,41,-2.999999999999999
40,40,-3.000000000000014
40,71,2.9999999999999947
40,72,2.9999999999999947
41,40,0.0
41,41,0.0
41,42,0.0
41,43,0.0
41,72,0.0
41,74,0.0
42,42,-2.999999999999999
42,43,2.9999999999999956
42,44,-2.999999999999999
43,43,-3.000000000000014
43,74,2.9999999999999947
43,75,2.9999999999999947
44,43,0.0
44,44,0.0
44,45,0.0
44,46,0.0
44,75,0.0
44,77,0.0
45,45,-2.999999999999999
45,46,2.9999999999999956
45,47,-2.999999999999999
46,46,-3.000000000000014
46,77,2.9999999999999947
46,78,2.9999999999999947
47,46,0.0
47,47,0.0
47,48,0.0
47,49,0.0
47,78,0.0
47,80,0.0
48,48,-2.999999999999999
48,49,2.9999999999999956
48,50,-2.999999999999999
49,49,-3.000000000000014
49,80,2.9999999999999947
49,81,2.9999999999999947
50,49,0.0
50,50,0.0
50,51,0.0
50,52,0.0
50,81,0.0
50,83,0.0
51,51,-2.999999999999999
51,52,2.9999999999999956
51,53,-2.999999999999999
52,52,-3.000000000000014
52,83,2.9999999999999947
52,84,2.9999999999999947
53,52,0.0
53,53,0.0
53,54,0.0
53,55,0.0
53,84,0.0
53,86,0.0
54,54,-2.999999999999999
54,55,2.9999999999999956
54,56,-2.999999999999999
55,55,-3.000000000000014
55,86,2.9999999999999947
55,87,2.9999999999999947
56,55,0.0
56,56,0.0
56,57,0.0
56,58,0.0
56,87,0.0
56,89,0.0
57,57,-2.999999999999999
57,58,2.9999999999999956
57,59,-2.999999999999999
58,60,2.9999999999999947
58,58,-3.000000000000014
58,89,2.9999999999999947
59,30,0.0
59,31,0.0
59,60,0.0
59,62,0.0
59,58,0.0
59,59,0.0
60,60,-2.999999999999999
60,61,3.0000000000000053
60,62,-2.999999999999999
61,61,-3.0000000000000053
61,90,2.999999999999992
61,119,2.999999999999992
62,61,0.0
62,62,0.0
62,63,0.0
62,64,0.0
62,90,0.0
62,92,0.0
63,63,-2.999999999999999
63,64,3.0000000000000053
63,65,-2.999999999999999
64,64,-3.0000000000000053
64,92,2.999999999999992
64,93,2.999999999999992
65,64,0.0
65,65,0.0
65,66,0.0
65,67,0.0
65,93,0.0
65,95,0.0
66,66,-2.999999999999999
66,67,3.0000000000000053
66,68,-2.999999999999999
67,67,-3.0000000000000053
67,95,2.999999999999992
67,96,2.999999999999992
68,67,0.0
68,68,0.0
68,69,0.0
68,70,0.0
68,96,0.0
68,98,0.0
69,69,-2.999999999999999
69,70,3.0000000000000053
69,71,-2.999999999999999
70,70,-3.0000000000000053
70,98,2.999999999999992
70,99,2.999999999999992
71,70,0.0
71,71,0.0
71,72,0.0
71,73,0.0
71,99,0.0
71,101,0.0
72,72,-2.999999999999999
72,73,3.0000000000000053
